Photo,Name,Links,Location,Season,Type,Management,Fee,Amenities,Features,Surface,Trail,Sports,Favorite,Difficulty,Motorized,Notes,Class3,Source,Status,TrailT
,Soundview Trailhead,,Foothills Trail,,Trailhead,Owner: Unknown,,,,,,,,,Trail uses unknown,,Unknown,"Location contributed by <a href=http://www.co.pierce.wa.us/ target=""_blank"">Pierce County</a>",Open,Trail
,"<a href=http://www.co.pierce.wa.us/pc/abtus/ourorg/parks/foothillstrail.htm target=""_blank"">Ohop Trail Extension</a>",,Pierce County,,Official Trail,Owner: Pierce County,,,,,,,,,Trail uses unknown,,County,"Location contributed by <a href=http://www.co.pierce.wa.us/ target=""_blank"">Pierce County</a>",Open,Trail
,Schuster Parkway Sidewalk/Trail Access,,Foothills Trail,,Trailhead,Owner: Unknown,,,,,,,,,Trail uses unknown,,Unknown,"Location contributed by <a href=http://www.co.pierce.wa.us/ target=""_blank"">Pierce County</a>",Open,Trail
,Schuster Parkway Sidewalk/Trail Access,,Foothills Trail,,Trailhead,Owner: Unknown,,,,,,,,,Trail uses unknown,,Unknown,"Location contributed by <a href=http://www.co.pierce.wa.us/ target=""_blank"">Pierce County</a>",Open,Trail
,Narrows/Grandview Trail Access,,Foothills Trail,,Trailhead,Owner: Unknown,,,,,,,,,Trail uses unknown,,Unknown,"Location contributed by <a href=http://www.co.pierce.wa.us/ target=""_blank"">Pierce County</a>",Open,Trail
,"<a href=http://www.penmetparks.org/26501/295947.html target=""_blank"">Cushman Power Line Trail</a>",,"Kimball Dr At Hunt St, Reed Rd & 28th St, Gig Harbor",,Official Trail,"Owner: Tacoma Public Utilities; Manager: Peninsula Metropolitan Park District",,,,,,,,,Trail uses unknown,,Other Public,"Location contributed by <a href=http://www.co.pierce.wa.us/ target=""_blank"">Pierce County</a>",Open,Trail
,Ruston Way Esplanade,,Pierce County,,Official Trail,Owner: Unknown,,,,,,,,,Trail uses unknown,,Unknown,"Location contributed by <a href=http://www.co.pierce.wa.us/ target=""_blank"">Pierce County</a>",Open,Trail
,Scott Pierson Trail,,Pierce County,,Official Trail,Owner: Unknown,,,,,,,,,Trail uses unknown,,Unknown,"Location contributed by <a href=http://www.co.pierce.wa.us/ target=""_blank"">Pierce County</a>",Open,Trail
,Sumner Confluence Trail - Stuck & Puyallup,,Pierce County,,Official Trail,Owner: Unknown,,,,,,,,,Trail uses unknown,,Unknown,"Location contributed by <a href=http://www.co.pierce.wa.us/ target=""_blank"">Pierce County</a>",Open,Trail
,Thea Foss Esplanade Trail,,Pierce County,,Official Trail,Owner: Unknown,,,,,,,,,Trail uses unknown,,Unknown,"Location contributed by <a href=http://www.co.pierce.wa.us/ target=""_blank"">Pierce County</a>",Open,Trail
,"<a href=http://parks.state.wa.us/564/Penrose-Point target=""_blank"">A Touch of Nature Interpretive Trail</a>",,Penrose Point State Park,,Official Trail,Owner: WA State Parks,Pass: Discover Pass,,Features: Interpretive Signs,,"Trail Length: 0.2 mi;","Summer Sports: Hiking, Mountain Biking",,,No motorized use,This short trail in the dy-use area was built by Eagle Scounts in 1982 and rennovated by a second group of scouts in 1991.,State,"Location contributed by <a href=http://www.parks.wa.gov/ target=""_blank"">WA State Parks</a>",Open,Trail
,"<a href=http://www.dnr.wa.gov/ElbeHillsTahoma target=""_blank"">ADA Trail</a>",,Elbe Hills State Forest,Season: Spring to Fall (Best),Official Trail,Owner: WDNR,Pass: Discover Pass,,,Natural/Soft Surface,Trail Surface: Natural/Soft Surface,"Summer Sports: Hiking, Horseback Riding",,,No motorized use,This trail is part of the Nicholson Horse Trail system.,State,"Location contributed by <a href=http://www.rco.wa.gov/ target=""_blank"">RCO</a>",Open,Trail
,"<a href=http://www.dnr.wa.gov/ElbeHillsTahoma target=""_blank"">Alder Loop</a>",,Elbe Hills State Forest,Season: Spring to Fall (Best),Official Trail,Owner: WDNR,Pass: Discover Pass,,,Natural/Soft Surface,Trail Surface: Natural/Soft Surface,"Summer Sports: Jeep/4-Wheeling; Other Allowed Uses: ATVing, Motorcycling",,,Motorized uses allowed,"This is part of a 13 mile trail netwrork designed for Jeeps, although ATVs and motorcycles are allowed on the trails.",State,"Location contributed by <a href=http://www.rco.wa.gov/ target=""_blank"">RCO</a>",Open,Trail
,"<a href=http://www.dnr.wa.gov/ElbeHillsTahoma target=""_blank"">Anvil Loop</a>",,Elbe Hills State Forest,Season: Spring to Fall (Best),Official Trail,Owner: WDNR,Pass: Discover Pass,,,Natural/Soft Surface,Trail Surface: Natural/Soft Surface,Summer Sports: Horseback Riding,,,No motorized use,This trail is part of the Nicholson Horse Trail system.,State,"Location contributed by <a href=http://www.rco.wa.gov/ target=""_blank"">RCO</a>",Open,Trail
,Art Walk Connector,,Pierce County,Season: Year round (Open),Official Trail,Owner: Tacoma,,,,Paved,Trail Surface: Paved,Summer Sports: Hiking,,,No motorized use,This short trail crosses crosses over I-705 connecting downtown Tacoma to the waterfront. The bridge is a work of art and is filled with examples of blown glass.,City,"Location contributed by <a href=http://www.rco.wa.gov/ target=""_blank"">RCO</a>",Open,Trail
,Bearhead Trail,,Clearwater Wilderness,,Official Trail,Owner: USFS,,,,Natural/Soft Surface,Trail Surface: Natural/Soft Surface,"Summer Sports: Hiking, Horseback Riding",,,No motorized use,,Federal,"Location contributed by <a href=http://www.rco.wa.gov/ target=""_blank"">RCO</a>",Open,Trail
,Boundary Trail,,Dash Point State Park,,Official Trail,Owner: WA State Parks,,,,Natural/Soft Surface,Trail Surface: Natural/Soft Surface,Summer Sports: Hiking,,,No motorized use,,State,"Location contributed by <a href=http://www.rco.wa.gov/ target=""_blank"">RCO</a>",Open,Trail
,"<a href=http://www.dnr.wa.gov/ElbeHillsTahoma target=""_blank"">Buck Crossing Trail</a>",,Elbe Hills State Forest,Season: Spring to Fall (Best),Official Trail,Owner: WDNR,Pass: Discover Pass,,,Natural/Soft Surface,Trail Surface: Natural/Soft Surface,Summer Sports: Horseback Riding,,,No motorized use,This trail is part of the Nicholson Horse Trail system.,State,"Location contributed by <a href=http://www.rco.wa.gov/ target=""_blank"">RCO</a>",Open,Trail
,"<a href=http://www.dnr.wa.gov/ElbeHillsTahoma target=""_blank"">Bull's Run Trail</a>",,Elbe Hills State Forest,Season: Spring to Fall (Best),Official Trail,Owner: WDNR,Pass: Discover Pass,,,Natural/Soft Surface,Trail Surface: Natural/Soft Surface,Summer Sports: Horseback Riding,,,No motorized use,This trail is part of the Nicholson Horse Trail system.,State,"Location contributed by <a href=http://www.rco.wa.gov/ target=""_blank"">RCO</a>",Open,Trail
,"<a href=http://www.dnr.wa.gov/ElbeHillsTahoma target=""_blank"">Busywild Trail</a>",,Elbe Hills State Forest,Season: Spring to Fall (Best),Official Trail,Owner: WDNR,Pass: Discover Pass,,,Natural/Soft Surface,Trail Surface: Natural/Soft Surface,"Summer Sports: Jeep/4-Wheeling; Other Allowed Uses: ATVing, Motorcycling",,,Motorized uses allowed,"This is part of a 13 mile trail netwrork designed for Jeeps, although ATVs and motorcycles are allowed on the trails.",State,"Location contributed by <a href=http://www.rco.wa.gov/ target=""_blank"">RCO</a>",Open,Trail
,"<a href=https://www.fs.usda.gov/recarea/mbs/recreation/hiking/recarea/?recid=18110&actid=50 target=""_blank"">Clearwest Peak Trail</a>",,Mt Baker-Snoqualmie National Forest,Season: Summer to Fall (Best),Official Trail,Owner: USFS,Pass: Northwest Forest Pass,,,Natural/Soft Surface,"Trail ID: 1181;  Top Elevation: 5640 ft; Elevation Gain: 915 ft; Trail Surface: Natural/Soft Surface","Summer Sports: Hiking, Horseback Riding",,,No motorized use,This short trail is a perfect hike for families and bird-watchers. Explore forest ecology or take in the grand views of the Clearwater Wilderness as you explore this trail.,Federal,"Location contributed by <a href=http://www.rco.wa.gov/ target=""_blank"">RCO</a>",Open,Trail
,Dash Point Beach Trail,,Dash Point State Park,,Official Trail,Owner: WA State Parks,,,,Natural/Soft Surface,Trail Surface: Natural/Soft Surface,Summer Sports: Hiking,,,No motorized use,,State,"Location contributed by <a href=http://www.rco.wa.gov/ target=""_blank"">RCO</a>",Open,Trail
,"<a href=http://www.dnr.wa.gov/ElbeHillsTahoma target=""_blank"">Doe Crossing Trail</a>",,Elbe Hills State Forest,Season: Spring to Fall (Best),Official Trail,Owner: WDNR,Pass: Discover Pass,,,Natural/Soft Surface,Trail Surface: Natural/Soft Surface,Summer Sports: Horseback Riding,,,No motorized use,This trail is part of the Nicholson Horse Trail system.,State,"Location contributed by <a href=http://www.rco.wa.gov/ target=""_blank"">RCO</a>",Open,Trail
,Double Dip Trail,,Dash Point State Park,,Official Trail,Owner: WA State Parks,,,,Natural/Soft Surface,Trail Surface: Natural/Soft Surface,Summer Sports: Hiking,,,No motorized use,,State,"Location contributed by <a href=http://www.rco.wa.gov/ target=""_blank"">RCO</a>",Open,Trail
,"<a href=http://www.dnr.wa.gov/ElbeHillsTahoma target=""_blank"">Fawn Crossing Trail</a>",,Elbe Hills State Forest,Season: Spring to Fall (Best),Official Trail,Owner: WDNR,Pass: Discover Pass,,,Natural/Soft Surface,Trail Surface: Natural/Soft Surface,Summer Sports: Horseback Riding,,,No motorized use,This trail is part of the Nicholson Horse Trail system.,State,"Location contributed by <a href=http://www.rco.wa.gov/ target=""_blank"">RCO</a>",Open,Trail
,"<a href=http://www.dnr.wa.gov/ElbeHillsTahoma target=""_blank"">Gotcha Trail</a>",,Elbe Hills State Forest,Season: Spring to Fall (Best),Official Trail,Owner: WDNR,Pass: Discover Pass,,,Natural/Soft Surface,Trail Surface: Natural/Soft Surface,"Summer Sports: Jeep/4-Wheeling; Other Allowed Uses: ATVing, Motorcycling",,,Motorized uses allowed,"This is part of a 13 mile trail netwrork designed for Jeeps, although ATVs and motorcycles are allowed on the trails.",State,"Location contributed by <a href=http://www.rco.wa.gov/ target=""_blank"">RCO</a>",Open,Trail
,"<a href=http://www.dnr.wa.gov/ElbeHillsTahoma target=""_blank"">Holly Trail</a>",,Elbe Hills State Forest,Season: Spring to Fall (Best),Official Trail,Owner: WDNR,Pass: Discover Pass,,,Natural/Soft Surface,Trail Surface: Natural/Soft Surface,"Summer Sports: Hiking, Horseback Riding",,,No motorized use,This trail is part of the Nicholson Horse Trail system.,State,"Location contributed by <a href=http://www.rco.wa.gov/ target=""_blank"">RCO</a>",Open,Trail
,IMBA Trail,,Dash Point State Park,,Official Trail,Owner: WA State Parks,,,,Natural/Soft Surface,Trail Surface: Natural/Soft Surface,Summer Sports: Hiking,,,No motorized use,,State,"Location contributed by <a href=http://www.rco.wa.gov/ target=""_blank"">RCO</a>",Open,Trail
,Independence Ridge Trail,,Mount Rainier National Park,,Official Trail,Owner: NPS,,,,Natural/Soft Surface,Trail Surface: Natural/Soft Surface,Summer Sports: Hiking,,,No motorized use,,Federal,"Location contributed by <a href=http://www.rco.wa.gov/ target=""_blank"">RCO</a>",Open,Trail
,Know-It-All Trail,,Dash Point State Park,,Official Trail,Owner: WA State Parks,,,,Natural/Soft Surface,Trail Surface: Natural/Soft Surface,Summer Sports: Hiking,,,No motorized use,,State,"Location contributed by <a href=http://www.rco.wa.gov/ target=""_blank"">RCO</a>",Open,Trail
,Kracker Krossing Trail,,Dash Point State Park,,Official Trail,Owner: WA State Parks,,,,Natural/Soft Surface,Trail Surface: Natural/Soft Surface,Summer Sports: Hiking,,,No motorized use,,State,"Location contributed by <a href=http://www.rco.wa.gov/ target=""_blank"">RCO</a>",Open,Trail
,Lakeland Hills Trail,,Pierce County,,Official Trail,Owner: Auburn,,,,Paved,Trail Surface: Paved,"Summer Sports: Hiking, Mountain Biking",,,No motorized use,,City,"Location contributed by <a href=http://www.rco.wa.gov/ target=""_blank"">RCO</a>",Open,Trail
,Log Jam Trail,,Dash Point State Park,,Official Trail,Owner: WA State Parks,,,,Natural/Soft Surface,Trail Surface: Natural/Soft Surface,Summer Sports: Hiking,,,No motorized use,,State,"Location contributed by <a href=http://www.rco.wa.gov/ target=""_blank"">RCO</a>",Open,Trail
,"<a href=http://www.dnr.wa.gov/ElbeHillsTahoma target=""_blank"">Lower Elkspur</a>",,Elbe Hills State Forest,Season: Spring to Fall (Best),Official Trail,Owner: WDNR,Pass: Discover Pass,,,Natural/Soft Surface,Trail Surface: Natural/Soft Surface,Summer Sports: Horseback Riding,,,No motorized use,This trail is part of the Nicholson Horse Trail system.,State,"Location contributed by <a href=http://www.rco.wa.gov/ target=""_blank"">RCO</a>",Open,Trail
,"<a href=http://www.dnr.wa.gov/ElbeHillsTahoma target=""_blank"">Mainline Trail</a>",,Elbe Hills State Forest,Season: Spring to Fall (Best),Official Trail,Owner: WDNR,Pass: Discover Pass,,,Natural/Soft Surface,Trail Surface: Natural/Soft Surface,"Summer Sports: Jeep/4-Wheeling; Other Allowed Uses: ATVing, Motorcycling",,,Motorized uses allowed,"This is part of a 13 mile trail netwrork designed for Jeeps, although ATVs and motorcycles are allowed on the trails.",State,"Location contributed by <a href=http://www.rco.wa.gov/ target=""_blank"">RCO</a>",Open,Trail
,"<a href=http://www.dnr.wa.gov/ElbeHillsTahoma target=""_blank"">Mainline Extension Trail</a>",,Elbe Hills State Forest,Season: Spring to Fall (Best),Official Trail,Owner: WDNR,Pass: Discover Pass,,,Natural/Soft Surface,Trail Surface: Natural/Soft Surface,"Summer Sports: Jeep/4-Wheeling; Other Allowed Uses: ATVing, Motorcycling",,,Motorized uses allowed,"This is part of a 13 mile trail netwrork designed for Jeeps, although ATVs and motorcycles are allowed on the trails.",State,"Location contributed by <a href=http://www.rco.wa.gov/ target=""_blank"">RCO</a>",Open,Trail
,"<a href=http://www.dnr.wa.gov/ElbeHillsTahoma target=""_blank"">Memorial East Trail</a>",,Elbe Hills State Forest,Season: Spring to Fall (Best),Official Trail,Owner: WDNR,Pass: Discover Pass,,,Natural/Soft Surface,Trail Surface: Natural/Soft Surface,Summer Sports: Horseback Riding,,,No motorized use,This trail is part of the Nicholson Horse Trail system.,State,"Location contributed by <a href=http://www.rco.wa.gov/ target=""_blank"">RCO</a>",Open,Trail
,"<a href=http://www.dnr.wa.gov/ElbeHillsTahoma target=""_blank"">Memorial West Trail</a>",,Elbe Hills State Forest,Season: Spring to Fall (Best),Official Trail,Owner: WDNR,Pass: Discover Pass,,,Natural/Soft Surface,Trail Surface: Natural/Soft Surface,Summer Sports: Horseback Riding,,,No motorized use,This trail is part of the Nicholson Horse Trail system.,State,"Location contributed by <a href=http://www.rco.wa.gov/ target=""_blank"">RCO</a>",Open,Trail
,Mirror Lakes Trail,,Mount Rainier National Park,,Official Trail,Owner: NPS,,,,Natural/Soft Surface,Trail Surface: Natural/Soft Surface,Summer Sports: Hiking,,,No motorized use,,Federal,"Location contributed by <a href=http://www.rco.wa.gov/ target=""_blank"">RCO</a>",Open,Trail
,Natural Bridge Trail,,Mount Rainier National Park,,Official Trail,Owner: NPS,,,,Natural/Soft Surface,Trail Surface: Natural/Soft Surface,Summer Sports: Hiking,,,No motorized use,,Federal,"Location contributed by <a href=http://www.rco.wa.gov/ target=""_blank"">RCO</a>",Open,Trail
,Nightcrawler Trail,,Dash Point State Park,,Official Trail,Owner: WA State Parks,,,,Natural/Soft Surface,Trail Surface: Natural/Soft Surface,Summer Sports: Hiking,,,No motorized use,,State,"Location contributed by <a href=http://www.rco.wa.gov/ target=""_blank"">RCO</a>",Open,Trail
,Outbound Trail,,Dash Point State Park,,Official Trail,Owner: WA State Parks,,,,Natural/Soft Surface,Trail Surface: Natural/Soft Surface,Summer Sports: Hiking,,,No motorized use,,State,"Location contributed by <a href=http://www.rco.wa.gov/ target=""_blank"">RCO</a>",Open,Trail
,Paul's Trail,,Dash Point State Park,,Official Trail,Owner: WA State Parks,,,,Natural/Soft Surface,Trail Surface: Natural/Soft Surface,Summer Sports: Hiking,,,No motorized use,,State,"Location contributed by <a href=http://www.rco.wa.gov/ target=""_blank"">RCO</a>",Open,Trail
,Point Defiance - Promenade,,Point Defiance,,Official Trail,Owner: Tacoma,,,,Paved,Trail Surface: Paved,"Summer Sports: Hiking, Mountain Biking",,,No motorized use,,City,"Location contributed by <a href=http://www.rco.wa.gov/ target=""_blank"">RCO</a>",Open,Trail
,Point Defiance - Rhododendron Garden Trail,,Point Defiance,,Official Trail,Owner: Tacoma,,,,Paved,Trail Surface: Paved,Summer Sports: Hiking,,,No motorized use,,City,"Location contributed by <a href=http://www.rco.wa.gov/ target=""_blank"">RCO</a>",Open,Trail
,Point Defiance - Spine Trail,,Point Defiance,,Official Trail,Owner: Tacoma,,,,Paved,Trail Surface: Paved,"Summer Sports: Hiking, Mountain Biking",,,No motorized use,,City,"Location contributed by <a href=http://www.rco.wa.gov/ target=""_blank"">RCO</a>",Open,Trail
,Point Defiance - Square Outer Loop,,Point Defiance,,Official Trail,Owner: Tacoma,,,,Paved,Trail Surface: Paved,"Summer Sports: Hiking, Mountain Biking",,,No motorized use,,City,"Location contributed by <a href=http://www.rco.wa.gov/ target=""_blank"">RCO</a>",Open,Trail
,Point Defiance - Traingle Inner Loop,,Point Defiance,,Official Trail,Owner: Tacoma,,,,Paved,Trail Surface: Paved,"Summer Sports: Hiking, Mountain Biking",,,No motorized use,,City,"Location contributed by <a href=http://www.rco.wa.gov/ target=""_blank"">RCO</a>",Open,Trail
,Prairie Line Trail,,Pierce County,,Official Trail,Owner: Tacoma,,,,Paved,Trail Surface: Paved,"Summer Sports: Hiking, Mountain Biking",,,No motorized use,,City,"Location contributed by <a href=http://www.rco.wa.gov/ target=""_blank"">RCO</a>",Open,Trail
,Puget Gulch Creek Trail,,Puget Gardens,,Official Trail,Owner: Tacoma,,,,,,Summer Sports: Hiking,,,No motorized use,,City,"Location contributed by <a href=http://www.rco.wa.gov/ target=""_blank"">RCO</a>",Open,Trail
,Puget Gulch Education Trail,,Puget Gardens,,Official Trail,Owner: Tacoma,,,,,,Summer Sports: Hiking,,,No motorized use,,City,"Location contributed by <a href=http://www.rco.wa.gov/ target=""_blank"">RCO</a>",Open,Trail
,Puyallup Trail,,Mount Rainier National Park,,Official Trail,Owner: NPS,,,,Natural/Soft Surface,Trail Surface: Natural/Soft Surface,Summer Sports: Hiking,,,No motorized use,,Federal,"Location contributed by <a href=http://www.rco.wa.gov/ target=""_blank"">RCO</a>",Open,Trail
,"<a href=http://www.dnr.wa.gov/ElbeHillsTahoma target=""_blank"">Rainier Vista Trail</a>",,Elbe Hills State Forest,Season: Spring to Fall (Best),Official Trail,Owner: WDNR,Pass: Discover Pass,,,Natural/Soft Surface,Trail Surface: Natural/Soft Surface,"Summer Sports: Jeep/4-Wheeling; Other Allowed Uses: ATVing, Motorcycling",,,Motorized uses allowed,"This is part of a 13 mile trail netwrork designed for Jeeps, although ATVs and motorcycles are allowed on the trails.",State,"Location contributed by <a href=http://www.rco.wa.gov/ target=""_blank"">RCO</a>",Open,Trail
,Schuster Corridor Multi-Use Trail,,Pierce County,,Official Trail,Owner: Tacoma,,,,,,Summer Sports: Hiking,,,No motorized use,,City,"Location contributed by <a href=http://www.rco.wa.gov/ target=""_blank"">RCO</a>",Open,Trail
,"<a href=http://www.dnr.wa.gov/ElbeHillsTahoma target=""_blank"">Snoey Trail</a>",,Elbe Hills State Forest,Season: Spring to Fall (Best),Official Trail,Owner: WDNR,Pass: Discover Pass,,,Natural/Soft Surface,Trail Surface: Natural/Soft Surface,Summer Sports: Horseback Riding,,,No motorized use,This trail is part of the Nicholson Horse Trail system.,State,"Location contributed by <a href=http://www.rco.wa.gov/ target=""_blank"">RCO</a>",Open,Trail
,Spray Falls Trail,,Mount Rainier National Park,,Official Trail,Owner: NPS,,,,Natural/Soft Surface,Trail Surface: Natural/Soft Surface,Summer Sports: Hiking,,,No motorized use,,Federal,"Location contributed by <a href=http://www.rco.wa.gov/ target=""_blank"">RCO</a>",Open,Trail
,Summit Lake Trail,,Clearwater Wilderness,,Official Trail,Owner: USFS,,,,Natural/Soft Surface,Trail Surface: Natural/Soft Surface,"Summer Sports: Hiking, Horseback Riding",,,No motorized use,,Federal,"Location contributed by <a href=http://www.rco.wa.gov/ target=""_blank"">RCO</a>",Open,Trail
,"<a href=http://www.dnr.wa.gov/ElbeHillsTahoma target=""_blank"">Sunrise Trail</a>",,Elbe Hills State Forest,Season: Spring to Fall (Best),Official Trail,Owner: WDNR,Pass: Discover Pass,,,Natural/Soft Surface,Trail Surface: Natural/Soft Surface,"Summer Sports: Jeep/4-Wheeling; Other Allowed Uses: ATVing, Motorcycling",,,Motorized uses allowed,"This is part of a 13 mile trail netwrork designed for Jeeps, although ATVs and motorcycles are allowed on the trails.",State,"Location contributed by <a href=http://www.rco.wa.gov/ target=""_blank"">RCO</a>",Open,Trail
,"<a href=http://www.dnr.wa.gov/ElbeHillsTahoma target=""_blank"">Swamp Trail</a>",,Elbe Hills State Forest,Season: Spring to Fall (Best),Official Trail,Owner: WDNR,Pass: Discover Pass,,,Natural/Soft Surface,Trail Surface: Natural/Soft Surface,"Summer Sports: Jeep/4-Wheeling; Other Allowed Uses: ATVing, Motorcycling",,,Motorized uses allowed,"This is part of a 13 mile trail netwrork designed for Jeeps, although ATVs and motorcycles are allowed on the trails.",State,"Location contributed by <a href=http://www.rco.wa.gov/ target=""_blank"">RCO</a>",Open,Trail
,Technical Trail,,Dash Point State Park,,Official Trail,Owner: WA State Parks,,,,Natural/Soft Surface,Trail Surface: Natural/Soft Surface,Summer Sports: Hiking,,,No motorized use,,State,"Location contributed by <a href=http://www.rco.wa.gov/ target=""_blank"">RCO</a>",Open,Trail
,The Down Hill Trail,,Dash Point State Park,,Official Trail,Owner: WA State Parks,,,,Natural/Soft Surface,Trail Surface: Natural/Soft Surface,Summer Sports: Hiking,,,No motorized use,,State,"Location contributed by <a href=http://www.rco.wa.gov/ target=""_blank"">RCO</a>",Open,Trail
,Thea Foss Esplanade Trail,,Pierce County,,Official Trail,Owner: Tacoma,,,,Paved,Trail Surface: Paved,Summer Sports: Hiking,,,No motorized use,,City,"Location contributed by <a href=http://www.rco.wa.gov/ target=""_blank"">RCO</a>",Open,Trail
,Thea Foss Esplanade-Waterfront Park Trail,,Pierce County,,Official Trail,Owner: Tacoma,,,,Paved,Trail Surface: Paved,Summer Sports: Hiking,,,No motorized use,,City,"Location contributed by <a href=http://www.rco.wa.gov/ target=""_blank"">RCO</a>",Open,Trail
,"<a href=http://www.dnr.wa.gov/ElbeHillsTahoma target=""_blank"">Upper Elkspur</a>",,Elbe Hills State Forest,Season: Spring to Fall (Best),Official Trail,Owner: WDNR,Pass: Discover Pass,,,Natural/Soft Surface,Trail Surface: Natural/Soft Surface,Summer Sports: Horseback Riding,,,No motorized use,This trail is part of the Nicholson Horse Trail system.,State,"Location contributed by <a href=http://www.rco.wa.gov/ target=""_blank"">RCO</a>",Open,Trail
,Water Ditch Trail,,Pierce County,,Official Trail,Owner: Tacoma,,,,,,Summer Sports: Hiking,,,No motorized use,,City,"Location contributed by <a href=http://www.rco.wa.gov/ target=""_blank"">RCO</a>",Open,Trail
,Waterwalk at Point Ruston Trail,,Pierce County,,Official Trail,Owner: Tacoma,,,,Paved,Trail Surface: Paved,Summer Sports: Hiking,,,No motorized use,,City,"Location contributed by <a href=http://www.rco.wa.gov/ target=""_blank"">RCO</a>",Open,Trail
,White River (Sumner) Trail,,Pierce County,,Official Trail,Owner: Sumner,,,,Paved,Trail Surface: Paved,"Summer Sports: Hiking, Mountain Biking",,,No motorized use,,City,"Location contributed by <a href=http://www.rco.wa.gov/ target=""_blank"">RCO</a>",Open,Trail
,"<a href=http://www.nps.gov/mora/planyourvisit/van-trump-trail.htm target=""_blank"">Van Trump Park Trail</a>",,Mount Rainier National Park,,Official Trail,Owner: NPS,,,,,,Summer Sports: Hiking,,,No motorized use,This short spur takes off from the north part of the Van Trump Trail.,Federal,"Location contributed by <a href=http://www.nps.gov/mora/ target=""_blank"">Mt. Rainier National Park</a>",Open,Trail
,"<a href=https://www.fs.usda.gov/recarea/mbs/recreation/ohv/recarea/?recid=80335&actid=93 target=""_blank"">Evans 120 Trail</a>",,Mt Baker-Snoqualmie National Forest,Season: Spring to Fall (Best),Official Trail,Owner: USFS,Pass: Northwest Forest Pass,,,Natural/Soft Surface,"Trail ID: 120; Trail Surface: Natural/Soft Surface","Summer Sports: ATVing, Jeep/4-Wheeling, Motorcycling, Mountain Biking; Other Allowed Uses: Hiking, Horseback Riding",,,Motorized uses allowed,This trail is part of a 40 mile network of combined four-wheel drive and motorcycle/quad trails of varying difficulty trails around Evans Creek Campground. A covered picnic shelter is available on first come first served basis.,Federal,"Location contributed by <a href=http://washingtonhometown.com/ target=""_blank"">Washington Hometown</a>",Open,Trail
,"<a href=https://www.fs.usda.gov/recarea/mbs/recreation/ohv/recarea/?recid=80335&actid=93 target=""_blank"">Evans 519 Trail</a>",,Mt Baker-Snoqualmie National Forest,Season: Spring to Fall (Best),Official Trail,Owner: USFS,Pass: Northwest Forest Pass,,,Natural/Soft Surface,"Trail ID: 519; Trail Surface: Natural/Soft Surface","Summer Sports: ATVing, Jeep/4-Wheeling, Motorcycling, Mountain Biking; Other Allowed Uses: Hiking, Horseback Riding",,,Motorized uses allowed,This trail is part of a 40 mile network of combined four-wheel drive and motorcycle/quad trails of varying difficulty trails around Evans Creek Campground. A covered picnic shelter is available on first come first served basis.,Federal,"Location contributed by <a href=http://washingtonhometown.com/ target=""_blank"">Washington Hometown</a>",Open,Trail
,"<a href=https://www.fs.usda.gov/recarea/mbs/recreation/ohv/recarea/?recid=80335&actid=93 target=""_blank"">Evans 1151 Trail</a>",,Mt Baker-Snoqualmie National Forest,Season: Spring to Fall (Best),Official Trail,Owner: USFS,Pass: Northwest Forest Pass,,,Natural/Soft Surface,"Trail ID: 1151; Trail Surface: Natural/Soft Surface","Summer Sports: Motorcycling, Mountain Biking; Other Allowed Uses: Hiking, Horseback Riding",,,Motorized uses allowed,This trail is part of a 40 mile network of combined four-wheel drive and motorcycle/quad trails of varying difficulty trails around Evans Creek Campground. A covered picnic shelter is available on first come first served basis.,Federal,"Location contributed by <a href=http://washingtonhometown.com/ target=""_blank"">Washington Hometown</a>",Open,Trail
,"<a href=https://www.fs.usda.gov/recarea/mbs/recreation/ohv/recarea/?recid=80335&actid=93 target=""_blank"">Evans 1148 Trail</a>",,Mt Baker-Snoqualmie National Forest,Season: Spring to Fall (Best),Official Trail,Owner: USFS,Pass: Northwest Forest Pass,,,,"Trail ID: 1148;","Summer Sports: Motorcycling, Mountain Biking; Other Allowed Uses: Hiking, Horseback Riding",,,Motorized uses allowed,This trail is part of a 40 mile network of combined four-wheel drive and motorcycle/quad trails of varying difficulty trails around Evans Creek Campground. A covered picnic shelter is available on first come first served basis.,Federal,"Location contributed by <a href=http://washingtonhometown.com/ target=""_blank"">Washington Hometown</a>",Open,Trail
,"<a href=https://www.fs.usda.gov/recarea/mbs/recreation/ohv/recarea/?recid=80335&actid=93 target=""_blank"">Evans 520 Trail</a>",,Mt Baker-Snoqualmie National Forest,Season: Spring to Fall (Best),Official Trail,Owner: USFS,Pass: Northwest Forest Pass,,,,"Trail ID: 520;","Summer Sports: ATVing, Jeep/4-Wheeling, Motorcycling, Mountain Biking; Other Allowed Uses: Hiking, Horseback Riding",,,Motorized uses allowed,This trail is part of a 40 mile network of combined four-wheel drive and motorcycle/quad trails of varying difficulty trails around Evans Creek Campground. A covered picnic shelter is available on first come first served basis.,Federal,"Location contributed by <a href=http://washingtonhometown.com/ target=""_blank"">Washington Hometown</a>",Open,Trail
